name;country;source1;source2;source3;source4;iso3n;eu28
gujana;gujańskie;NA;NA;zus;NA;328;NA
gwatemala;gwatemala;police;border;pesel;udsc;320;NA
gwatemala;gwatemalskie;NA;NA;zus;NA;320;NA
gwinea;gwinea;police;border;pesel;udsc;324;NA
gwinea bissau;gwinea bissau;NA;border;pesel;udsc;624;NA
gwinea równikowa;gwinea równikowa;NA;NA;pesel;NA;226;NA
gwinea;gwinejskie;NA;NA;zus;NA;324;NA
haiti;haitańskie;NA;NA;zus;NA;332;NA
haiti;haiti;NA;NA;pesel;udsc;332;NA
indie;hinduskie;NA;NA;zus;NA;356;NA
hiszpania;hiszpania;police;NA;pesel;NA;724;EU
hiszpania;hiszpańskie;NA;NA;zus;NA;724;EU
holandia;holandia;police;NA;pesel;NA;528;EU
holandia;holenderskie;NA;NA;zus;NA;528;EU
honduras;honduras;NA;border;pesel;udsc;340;NA
honduras;honduraskie;NA;NA;zus;NA;340;NA
chiny - specjalny region administracyjny hongkong;hongkong;NA;border;NA;NA;344;NA
indie;indie;police;border;pesel;udsc;356;NA
indonezja;indonezja;police;border;pesel;udsc;360;NA
indonezja;indonezyjskie;NA;NA;zus;NA;360;NA
inne kraje;inne kraje;NA;NA;pesel;NA;998;NA
irak;irackie;NA;NA;zus;NA;368;NA
irak;irak;police;border;pesel;udsc;368;NA
iran;iran;police;border;pesel;udsc;364;NA
iran;irańskie;NA;NA;zus;NA;364;NA
irlandia;irlandia;police;NA;pesel;NA;372;EU
irlandia;irlandzkie;NA;NA;zus;NA;372;EU
islandia;islandia;police;NA;pesel;NA;352;NA
islandia;islandzkie;NA;NA;zus;NA;352;NA
izrael;izrael;police;border;pesel;udsc;376;NA
izrael;izraelskie;NA;NA;zus;NA;376;NA
jamajka;jamajka;police;border;pesel;udsc;388;NA
jamajka;jamajskie;NA;NA;zus;NA;388;NA
japonia;japonia;police;border;pesel;udsc;392;NA
japonia;japońskie;NA;NA;zus;NA;392;NA
jemen;jemen;police;border;pesel;udsc;887;NA
jemen;jemeńskie;NA;NA;zus;NA;887;NA
jordania;jordania;police;border;pesel;udsc;400;NA
jordania;jordańskie;NA;NA;zus;NA;400;NA
kraj nieustalony;jugosławia;police;NA;pesel;NA;999;NA
serbia;jugosławia (serbia i czarnogóra);police;NA;NA;NA;688;NA
kambodża;kambodża;NA;NA;pesel;udsc;116;NA
kambodża;kambodżańskie;NA;NA;zus;NA;116;NA
kamerun;kamerun;police;border;pesel;udsc;120;NA
kamerun;kameruńskie;NA;NA;zus;NA;120;NA
kanada;kanada;police;border;pesel;udsc;124;NA
kanada;kanadyjskie;NA;NA;zus;NA;124;NA
katar;katar;NA;NA;pesel;NA;634;NA
katar;katarskie;NA;NA;zus;NA;634;NA
kazachstan;kazachskie;NA;NA;zus;NA;398;NA
kazachstan;kazachstan;police;border;pesel;udsc;398;NA
kenia;kenia;police;border;pesel;udsc;404;NA
kenia;kenijskie;NA;NA;zus;NA;404;NA
kirgistan;kirgiskie;NA;NA;zus;NA;417;NA
kirgistan;kirgistan;NA;border;pesel;udsc;417;NA
kirgistan;kirgistan (kirgizja);police;NA;NA;NA;417;NA
kiribati;kiribati;NA;NA;pesel;NA;296;NA
kolumbia;kolumbia;police;border;pesel;udsc;170;NA
kolumbia;kolumbijskie;NA;NA;zus;NA;170;NA
komory;komory;NA;border;pesel;udsc;174;NA
kongo;kongijskie;NA;NA;zus;NA;178;NA
kongo;kongo;police;border;pesel;udsc;178;NA
korea północna;korea północna;NA;NA;pesel;udsc;408;NA
korea południowa;korea południowa;police;border;pesel;udsc;410;NA
korea północna;koreańska republika ludowo-demokratyczna;NA;border;NA;NA;408;NA
